x,f(x)
-2.000000,-19.000000000000
-1.950000,-18.164875000000
-1.900000,-17.359000000000
-1.850000,-16.581625000000
-1.800000,-15.832000000000
-1.750000,-15.109375000000
-1.700000,-14.413000000000
-1.650000,-13.742125000000
-1.600000,-13.096000000000
-1.550000,-12.473875000000
-1.500000,-11.875000000000
-1.450000,-11.298625000000
-1.400000,-10.744000000000
-1.350000,-10.210375000000
-1.300000,-9.697000000000
-1.250000,-9.203125000000
-1.200000,-8.728000000000
-1.150000,-8.270875000000
-1.100000,-7.831000000000
-1.050000,-7.407625000000
-1.000000,-7.000000000000
-0.950000,-6.607375000000
-0.900000,-6.229000000000
-0.850000,-5.864125000000
-0.800000,-5.512000000000
-0.750000,-5.171875000000
-0.700000,-4.843000000000
-0.650000,-4.524625000000
-0.600000,-4.216000000000
-0.550000,-3.916375000000
-0.500000,-3.625000000000
-0.450000,-3.341125000000
-0.400000,-3.064000000000
-0.350000,-2.792875000000
-0.300000,-2.527000000000
-0.250000,-2.265625000000
-0.200000,-2.008000000000
-0.150000,-1.753375000000
-0.100000,-1.501000000000
-0.050000,-1.250125000000
0.000000,-1.000000000000
0.050000,-0.749875000000
0.100000,-0.499000000000
0.150000,-0.246625000000
0.200000,0.008000000000
0.250000,0.265625000000
0.300000,0.527000000000
0.350000,0.792875000000
0.400000,1.064000000000
0.450000,1.341125000000
0.500000,1.625000000000
0.550000,1.916375000000
0.600000,2.216000000000
0.650000,2.524625000000
0.700000,2.843000000000
0.750000,3.171875000000
0.800000,3.512000000000
0.850000,3.864125000000
0.900000,4.229000000000
0.950000,4.607375000000
1.000000,5.000000000000
1.050000,5.407625000000
1.100000,5.831000000000
1.150000,6.270875000000
1.200000,6.728000000000
1.250000,7.203125000000
1.300000,7.697000000000
1.350000,8.210375000000
1.400000,8.744000000000
1.450000,9.298625000000
1.500000,9.875000000000
1.550000,10.473875000000
1.600000,11.096000000000
1.650000,11.742125000000
1.700000,12.413000000000
1.750000,13.109375000000
1.800000,13.832000000000
1.850000,14.581625000000
1.900000,15.359000000000
1.950000,16.164875000000
2.000000,17.000000000000
