iter	Passed	Remaining
0	45	64292
1	82	57800
2	120	55945
3	155	54417
4	191	53319
5	228	53037
6	264	52678
7	300	52205
8	335	51865
9	370	51530
10	406	51369
11	442	51185
12	478	51022
13	514	50899
14	550	50794
15	586	50757
16	622	50626
17	658	50550
18	694	50470
19	729	50325
20	765	50291
21	801	50188
22	837	50132
23	873	50056
24	908	49987
25	944	49890
26	980	49856
27	1015	49776
28	1052	49774
29	1089	49731
30	1125	49689
31	1162	49702
32	1198	49634
33	1236	49689
34	1277	49806
35	1325	50216
36	1368	50410
37	1402	50259
38	1437	50162
39	1473	50095
40	1510	50064
41	1546	49992
42	1581	49909
43	1618	49876
44	1653	49799
45	1691	49783
46	1727	49741
47	1762	49639
48	1797	49568
49	1833	49506
50	1869	49455
51	1905	49391
52	1940	49322
53	1977	49301
54	2013	49240
55	2049	49196
56	2086	49160
57	2122	49106
58	2158	49066
59	2194	49020
60	2230	48965
61	2266	48908
62	2302	48866
63	2338	48821
64	2375	48783
65	2411	48738
66	2446	48680
67	2482	48633
68	2519	48597
69	2555	48547
70	2590	48498
71	2625	48423
72	2661	48371
73	2698	48354
74	2734	48315
75	2769	48246
76	2805	48195
77	2840	48148
78	2876	48098
79	2912	48061
80	2949	48035
81	2984	47973
82	3021	47945
83	3057	47894
84	3092	47843
85	3127	47780
86	3162	47726
87	3198	47688
88	3234	47652
89	3270	47607
90	3306	47562
91	3345	47560
92	3380	47513
93	3416	47471
94	3453	47440
95	3488	47382
96	3525	47351
97	3561	47316
98	3596	47260
99	3634	47246
100	3670	47201
101	3706	47171
102	3744	47146
103	3777	47076
104	3812	47020
105	3848	46978
106	3884	46936
107	3920	46898
108	3956	46865
109	3992	46826
110	4029	46790
111	4065	46748
112	4100	46701
113	4135	46656
114	4172	46627
115	4207	46576
116	4244	46544
117	4280	46503
118	4315	46457
119	4351	46417
120	4387	46372
121	4423	46338
122	4460	46305
123	4496	46274
124	4531	46226
125	4568	46191
126	4604	46153
127	4641	46121
128	4675	46069
129	4711	46025
130	4747	45992
131	4783	45946
132	4818	45906
133	4854	45868
134	4890	45822
135	4925	45774
136	4960	45734
137	4996	45692
138	5032	45655
139	5067	45607
140	5102	45562
141	5139	45535
142	5175	45497
143	5211	45458
144	5245	45400
145	5280	45357
146	5316	45315
147	5353	45283
148	5389	45252
149	5425	45210
150	5459	45159
151	5497	45134
152	5534	45104
153	5569	45065
154	5606	45029
155	5641	44989
156	5678	44961
157	5714	44921
158	5750	44879
159	5785	44838
160	5821	44798
161	5856	44754
162	5891	44710
163	5926	44667
164	5962	44628
165	5998	44592
166	6035	44558
167	6072	44529
168	6108	44491
169	6143	44447
170	6179	44414
171	6215	44378
172	6251	44338
173	6287	44301
174	6323	44266
175	6358	44222
176	6394	44186
177	6431	44156
178	6467	44118
179	6504	44083
180	6540	44047
181	6575	44005
182	6610	43963
183	6648	43936
184	6684	43902
185	6721	43873
186	6759	43843
187	6793	43799
188	6830	43765
189	6867	43733
190	6902	43693
191	6938	43656
192	6975	43620
193	7011	43583
194	7047	43547
195	7082	43505
196	7117	43464
197	7153	43426
198	7189	43392
199	7225	43352
200	7261	43315
201	7296	43275
202	7332	43236
203	7368	43200
204	7404	43163
205	7440	43127
206	7476	43090
207	7512	43052
208	7547	43010
209	7583	42971
210	7618	42929
211	7654	42895
212	7691	42863
213	7726	42822
214	7761	42778
215	7798	42745
216	7834	42710
217	7870	42676
218	7906	42637
219	7942	42601
220	7978	42566
221	8015	42532
222	8051	42495
223	8086	42456
224	8123	42424
225	8159	42385
226	8195	42348
227	8230	42308
228	8266	42273
229	8303	42237
230	8338	42199
231	8375	42168
232	8411	42131
233	8448	42100
234	8485	42067
235	8522	42032
236	8558	41997
237	8595	41965
238	8631	41931
239	8666	41889
240	8703	41854
241	8738	41813
242	8773	41772
243	8809	41735
244	8845	41700
245	8881	41664
246	8918	41632
247	8954	41594
248	8989	41554
249	9024	41514
250	9060	41477
251	9095	41436
252	9132	41401
253	9166	41358
254	9203	41326
255	9239	41286
256	9275	41253
257	9311	41216
258	9346	41177
259	9382	41140
260	9419	41107
261	9456	41073
262	9491	41032
263	9527	40997
264	9563	40958
265	9599	40925
266	9633	40878
267	9669	40842
268	9705	40808
269	9741	40771
270	9778	40736
271	9813	40697
272	9850	40665
273	9886	40629
274	9923	40594
275	9959	40560
276	9996	40528
277	10032	40491
278	10069	40457
279	10104	40416
280	10141	40383
281	10176	40343
282	10211	40305
283	10247	40270
284	10284	40235
285	10320	40198
286	10356	40163
287	10392	40126
288	10428	40091
289	10464	40052
290	10499	40013
291	10535	39976
292	10571	39942
293	10610	39915
294	10644	39872
295	10678	39828
296	10714	39792
297	10751	39757
298	10787	39721
299	10823	39686
300	10858	39646
301	10894	39608
302	10929	39568
303	10963	39526
304	10996	39479
305	11032	39442
306	11068	39407
307	11105	39373
308	11141	39338
309	11178	39306
310	11216	39274
311	11252	39238
312	11288	39202
313	11324	39167
314	11360	39130
315	11396	39093
316	11432	39057
317	11468	39022
318	11504	38987
319	11540	38949
320	11575	38908
321	11610	38870
322	11644	38828
323	11678	38784
324	11715	38751
325	11751	38715
326	11785	38672
327	11821	38634
328	11856	38597
329	11892	38561
330	11929	38528
331	11967	38496
332	12003	38461
333	12041	38432
334	12076	38393
335	12112	38357
336	12148	38320
337	12184	38283
338	12219	38245
339	12256	38210
340	12292	38175
341	12328	38139
342	12365	38106
343	12402	38072
344	12436	38031
345	12471	37992
346	12507	37955
347	12543	37919
348	12578	37880
349	12613	37841
350	12650	37806
351	12686	37771
352	12722	37734
353	12758	37699
354	12794	37662
355	12829	37624
356	12865	37587
357	12902	37552
358	12939	37519
359	12975	37484
360	13012	37451
361	13048	37416
362	13086	37383
363	13123	37350
364	13160	37316
365	13194	37275
366	13231	37242
367	13265	37201
368	13301	37165
369	13338	37131
370	13374	37095
371	13410	37060
372	13447	37025
373	13484	36991
374	13520	36955
375	13556	36920
376	13593	36887
377	13628	36847
378	13662	36806
379	13699	36772
380	13735	36737
381	13771	36699
382	13807	36663
383	13843	36627
384	13879	36591
385	13915	36554
386	13951	36518
387	13987	36481
388	14023	36446
389	14059	36409
390	14095	36375
391	14131	36339
392	14169	36305
393	14205	36271
394	14241	36235
395	14277	36198
396	14313	36163
397	14350	36129
398	14386	36093
399	14423	36058
400	14459	36021
401	14495	35986
402	14532	35952
403	14567	35915
404	14603	35878
405	14638	35838
406	14674	35802
407	14710	35766
408	14746	35730
409	14782	35693
410	14817	35656
411	14852	35618
412	14890	35585
413	14926	35550
414	14961	35512
415	14996	35473
416	15033	35438
417	15068	35400
418	15105	35365
419	15141	35330
420	15177	35294
421	15214	35260
422	15250	35224
423	15286	35187
424	15322	35150
425	15358	35115
426	15395	35080
427	15430	35042
428	15465	35004
429	15501	34968
430	15537	34933
431	15572	34894
432	15609	34860
433	15647	34828
434	15682	34790
435	15718	34753
436	15755	34719
437	15791	34682
438	15826	34646
439	15862	34608
440	15898	34571
441	15934	34536
442	15969	34498
443	16004	34460
444	16040	34424
445	16074	34383
446	16110	34347
447	16147	34312
448	16182	34275
449	16219	34240
450	16255	34204
451	16290	34167
452	16326	34131
453	16364	34099
454	16402	34066
455	16438	34030
456	16474	33994
457	16510	33957
458	16545	33921
459	16582	33886
460	16618	33849
461	16652	33810
462	16689	33775
463	16723	33736
464	16758	33698
465	16793	33659
466	16830	33625
467	16866	33589
468	16903	33555
469	16939	33518
470	16975	33482
471	17012	33447
472	17048	33411
473	17084	33376
474	17120	33339
475	17155	33302
476	17192	33266
477	17228	33231
478	17264	33194
479	17301	33160
480	17335	33122
481	17371	33086
