iter	Passed	Remaining
0	6	8605
1	11	8088
2	16	7851
3	22	7837
4	27	7737
5	32	7642
6	38	7613
7	43	7613
8	49	7590
9	54	7569
10	59	7550
11	65	7525
12	70	7528
13	75	7500
14	81	7480
15	86	7471
16	91	7466
17	97	7462
18	102	7458
19	107	7445
20	113	7451
21	118	7440
22	124	7443
23	129	7431
24	134	7397
25	139	7386
26	145	7380
27	150	7358
28	155	7329
29	160	7319
30	165	7325
31	171	7325
32	176	7309
33	181	7288
34	186	7281
35	191	7263
36	196	7244
37	201	7232
38	206	7220
39	211	7200
40	216	7182
41	222	7179
42	227	7169
43	232	7155
44	237	7141
45	242	7131
46	247	7132
47	253	7137
48	258	7137
49	263	7125
50	268	7112
51	274	7104
52	279	7105
53	284	7090
54	289	7085
55	295	7084
56	300	7081
57	305	7071
58	310	7063
59	315	7049
60	320	7040
61	325	7026
62	330	7019
63	336	7014
64	341	7024
65	347	7019
66	352	7010
67	357	7011
68	363	7008
69	368	7005
70	373	6996
71	378	6990
72	384	6984
73	389	6983
74	394	6973
75	399	6963
76	405	6961
77	410	6959
78	415	6954
79	420	6942
80	426	6937
81	431	6938
82	436	6933
83	442	6926
84	447	6924
85	452	6918
86	458	6915
87	463	6907
88	468	6897
89	473	6892
90	478	6889
91	484	6885
92	489	6875
93	494	6870
94	500	6868
95	505	6864
96	510	6860
97	515	6853
98	520	6844
99	526	6843
100	531	6836
101	536	6829
102	542	6828
103	547	6822
104	552	6819
105	558	6812
106	563	6806
107	568	6801
108	573	6794
109	578	6785
110	583	6779
111	588	6773
112	594	6766
113	599	6759
114	604	6754
115	609	6747
116	614	6739
117	619	6730
118	624	6725
119	629	6719
120	635	6713
121	640	6705
122	645	6700
123	650	6695
124	655	6688
125	661	6683
126	666	6681
127	672	6681
128	677	6680
129	683	6676
130	688	6671
131	694	6667
132	699	6662
133	704	6658
134	710	6655
135	715	6649
136	720	6645
137	726	6642
138	731	6637
139	736	6631
140	742	6625
141	747	6620
142	752	6616
143	757	6609
144	762	6602
145	767	6595
146	773	6591
147	778	6589
148	783	6582
149	789	6575
150	794	6570
151	799	6564
152	805	6561
153	810	6553
154	815	6546
155	820	6543
156	825	6538
157	830	6531
158	836	6527
159	841	6520
160	846	6513
161	851	6506
162	856	6501
163	862	6497
164	867	6494
165	872	6487
166	878	6482
167	883	6478
168	888	6472
169	893	6465
170	898	6457
171	903	6450
172	908	6444
173	913	6436
174	918	6429
175	923	6425
176	929	6419
177	934	6413
178	939	6408
179	944	6403
180	950	6399
181	955	6393
182	960	6387
183	965	6381
184	970	6375
185	975	6370
186	981	6364
187	986	6361
188	992	6357
189	997	6352
190	1002	6348
191	1007	6341
192	1013	6336
193	1018	6333
194	1023	6327
195	1029	6321
196	1034	6315
197	1039	6309
198	1044	6303
199	1049	6296
200	1054	6292
201	1060	6290
202	1066	6286
203	1071	6279
204	1076	6272
205	1081	6268
206	1086	6263
207	1092	6259
208	1097	6252
209	1102	6246
210	1107	6242
211	1112	6235
212	1117	6228
213	1123	6223
214	1128	6217
215	1133	6210
216	1138	6206
217	1143	6200
218	1148	6193
219	1153	6187
220	1158	6181
221	1163	6174
222	1168	6168
223	1173	6162
224	1178	6154
225	1183	6150
226	1189	6146
227	1194	6142
228	1199	6136
229	1205	6130
230	1210	6124
231	1215	6119
232	1220	6113
233	1225	6106
234	1230	6100
235	1235	6094
236	1240	6087
237	1245	6082
238	1251	6077
239	1255	6070
240	1260	6064
241	1266	6058
242	1271	6052
243	1276	6048
244	1281	6041
245	1286	6035
246	1291	6029
247	1296	6024
248	1301	6017
249	1306	6011
250	1312	6006
251	1317	6000
252	1322	5994
253	1327	5988
254	1332	5983
255	1337	5977
256	1342	5970
257	1347	5966
258	1352	5960
259	1358	5955
260	1363	5948
261	1368	5944
262	1373	5939
263	1379	5934
264	1384	5927
265	1388	5921
266	1394	5916
267	1399	5910
268	1404	5903
269	1409	5898
270	1414	5893
271	1419	5887
272	1424	5881
273	1430	5876
274	1435	5871
275	1440	5865
276	1445	5859
277	1450	5854
278	1456	5850
279	1461	5845
280	1466	5840
281	1471	5835
282	1477	5830
283	1482	5825
